srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,Category_dtloader,Binary_dtloader
175.45.176.2,10915,149.171.126.17,80,tcp,FIN,0.243256,850,268,254,252,2,1,http,25158.67969,7366.724609,10,6,255,255,3475063289,1812895974,85,45,1,0,1312.63908,66.110563,1424255781,1424255782,24.467444,44.819398,0.036897,0.019148,0.017749,0,1,1.0,Normal, ,1,1,1,1,1,1,1,Exploits,1,6,1
175.45.176.1,8830,149.171.126.17,80,tcp,FIN,0.751982,850,5550,62,252,2,3,http,8138.493164,53139.57031,10,10,255,255,132880649,2845346061,85,555,1,2306,4046.804179,4277.979194,1424255921,1424255921,83.553556,66.930333,0.163608,0.09195,0.071658,0,1,1.0,Normal, ,2,2,1,1,1,1,2,Exploits,1,6,1
175.45.176.3,20545,149.171.126.15,110,tcp,FIN,4.097385,1222,41140,62,252,7,22,pop3,2294.14624,78719.47656,26,50,255,255,52452356,1247540906,47,823,0,0,10124.02584,7192.349619,1424255981,1424255986,163.8954,83.236753,0.179098,0.100789,0.078309,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Exploits,1,6,1
175.45.176.2,27483,149.171.126.12,25,tcp,FIN,2.719851,14029,1662,62,252,12,8,smtp,39890.42188,4667.902832,30,22,255,255,4162867804,1765653048,468,76,0,0,5478.575083,160.941781,1424256029,1424256031,93.782451,124.697766,0.188609,0.101193,0.087416,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Exploits,1,6,1
175.45.176.0,21076,149.171.126.13,5666,tcp,FIN,0.866193,2516,268,254,252,2,1,-,20919.125,2068.822998,10,6,255,255,2402155751,3565906106,252,45,0,0,4936.162294,261.357062,1424256134,1424256135,96.139333,147.185203,0.226108,0.130266,0.095842,0,1,Normal,Normal, ,6,2,1,2,1,1,1,Exploits,1,6,1
175.45.176.0,15313,149.171.126.12,56925,tcp,FIN,1.473906,364,3754,62,252,1,3,ftp-data,1731.453613,18340.38281,8,10,255,255,4021459615,89367568,46,375,0,0,13511.92262,12102.47577,1424255973,1424255975,210.558004,150.108667,0.305176,0.122205,0.182971,0,1,Normal,Normal, ,1,1,2,2,1,1,2,Exploits,1,6,1
175.45.176.0,25590,149.171.126.14,111,tcp,FIN,1.655973,564,354,254,252,2,1,-,2454.14624,1497.609009,10,8,255,255,3333994368,959760282,56,44,0,0,11031.16497,313.826125,1424255935,1424255936,176.201444,228.508281,0.248646,0.056406,0.19224,0,1,Normal,Normal, ,4,4,2,3,1,1,1,Reconnaissance,1,2,1
175.45.176.3,29940,149.171.126.13,80,tcp,FIN,0.884389,802,354,254,252,2,1,http,6531.062988,2804.196045,10,8,255,255,1662441168,2167739792,80,44,1,0,5314.209918,202.723656,1424255851,1424255852,96.007444,116.886,0.139164,0.066174,0.07299,0,1,1.0,Normal, ,1,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.0,63998,149.171.126.18,111,udp,INT,9e-06,168,0,254,0,0,0,-,74666664.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424256005,1424256005,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,6,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.1,17936,149.171.126.16,80,tcp,FIN,1.443506,788,354,254,252,2,1,http,3934.864258,1718.039307,10,8,255,255,2606553577,4110074905,79,44,1,0,8745.575621,336.4965,1424256116,1424256117,160.276556,196.764,0.206722,0.066149,0.140573,0,1,1.0,Normal, ,1,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.3,12120,149.171.126.13,111,udp,INT,9e-06,168,0,254,0,0,0,-,74666664.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424255772,1424255772,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.3,17012,149.171.126.12,80,tcp,FIN,0.984401,840,354,254,252,2,1,http,6143.837891,2519.298584,10,8,255,255,3799477212,3801038866,84,44,1,0,6516.982393,190.457469,1424255859,1424255860,106.017222,130.844859,0.151414,0.068481,0.082933,0,1,1.0,Normal, ,2,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.3,25719,149.171.126.19,111,tcp,FIN,2.448133,564,354,254,252,2,1,-,1660.040527,1013.016846,10,8,255,255,114652824,663652082,56,44,0,0,16104.95148,548.95525,1424255930,1424255933,269.423111,332.714156,0.258368,0.119131,0.139237,0,1,Normal,Normal, ,6,4,2,3,1,1,4,Reconnaissance,1,2,1
175.45.176.1,35797,149.171.126.18,5060,udp,INT,1e-05,1314,0,254,0,0,0,-,525600000.0,0.0,2,0,0,0,0,0,657,0,0,0,0.0,0.0,1424256124,1424256124,0.01,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,2,1,1,1,1,1,1,Generic,1,7,1
175.45.176.0,5699,149.171.126.10,80,tcp,FIN,1.764555,68187,612,254,252,27,1,http,303990.5313,2579.687256,60,14,255,255,3236953719,1143765235,1136,44,1,0,3260.496107,218.258438,1424256127,1424256129,29.275949,127.814,0.229305,0.102967,0.126338,0,1,4.0,Normal, ,2,1,2,3,2,2,3,DoS,1,5,1
175.45.176.2,64595,149.171.126.15,4322,tcp,FIN,1.017213,1180,354,254,252,2,1,-,8352.233398,2438.03418,10,8,255,255,3404134501,2212733236,118,44,0,0,6434.124506,190.641172,1424256023,1424256024,104.464444,132.944281,0.151787,0.086595,0.065192,0,1,Normal,Normal, ,1,2,1,2,1,1,2,DoS,1,5,1
175.45.176.2,24281,149.171.126.18,55708,tcp,FIN,4.856489,764,354,254,252,2,1,-,1133.328979,510.656952,10,8,255,255,3383094058,1232226445,76,44,0,0,33575.25016,1044.39,1424256041,1424256045,539.537889,674.910437,0.231097,0.132109,0.098988,0,1,Normal,Normal, ,2,1,1,2,1,1,1,Shellcode,1,8,1
175.45.176.1,61737,149.171.126.19,3601,udp,INT,1.4e-05,486,0,254,0,0,0,-,138857136.0,0.0,2,0,0,0,0,0,243,0,0,0,0.0,0.0,1424255821,1424255821,0.014,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,5,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.0,50488,149.171.126.18,28832,tcp,FIN,0.944267,748,268,254,252,2,1,-,5710.249512,1897.768433,10,6,255,255,1882107483,2971050245,75,45,0,0,5662.868972,278.873781,1424255954,1424255955,101.427,173.476406,0.203579,0.076884,0.126695,0,1,Normal,Normal, ,5,1,1,2,1,1,2,Shellcode,1,8,1
175.45.176.0,7050,149.171.126.14,12352,udp,INT,4e-06,806,0,254,0,0,0,-,806000000.0,0.0,2,0,0,0,0,0,403,0,0,0,0.0,0.0,1424255816,1424255816,0.004,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,8,6,3,4,1,1,1,Shellcode,1,8,1
175.45.176.0,60127,149.171.126.18,7455,tcp,FIN,1.585799,520,354,254,252,2,1,-,2360.955078,1563.880493,10,8,255,255,181588550,668172732,52,44,0,0,10815.76418,315.982562,1424256059,1424256060,169.783444,214.959281,0.168807,0.081083,0.087724,0,1,Normal,Normal, ,2,1,1,2,1,1,2,Shellcode,1,8,1
175.45.176.3,41084,149.171.126.10,40555,tcp,FIN,0.523058,982,268,254,252,2,1,-,13520.48926,3426.006348,10,6,255,255,472749777,4072243546,98,45,0,0,3245.576752,106.584344,1424255826,1424255827,58.005333,73.257,0.257066,0.156756,0.10031,0,1,Normal,Normal, ,3,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.1,0,149.171.126.14,0,ospf,INT,30.050091,1280,0,254,0,0,0,-,323.726135,0.0,20,0,0,0,0,0,64,0,0,0,1876.1445,0.0,1424256055,1424256086,1581.583625,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Backdoor,1,4,1
175.45.176.1,49413,149.171.126.16,34324,tcp,FIN,1.23008,454,372,254,252,2,2,-,2659.989502,2120.187256,10,8,255,255,587753198,1218723209,45,47,0,0,7256.653642,203.452562,1424256142,1424256143,121.435778,162.821281,0.16519,0.09033,0.07486,0,1,Normal,Normal, ,2,1,1,1,1,1,1,Backdoor,1,4,1
175.45.176.2,13155,149.171.126.10,80,tcp,FIN,3.871076,2294,308273,254,252,2,113,http,4639.536621,634335.25,46,232,255,255,2443634197,3800249613,50,1329,1,149237,4714.659403,2018.447119,1424255825,1424255829,86.023912,16.385251,0.13882,0.056488,0.082332,0,1,1.0,Normal, ,1,1,1,1,1,1,1,Worms,1,9,1
175.45.176.1,61386,149.171.126.12,80,tcp,FIN,1.177513,1306,354,254,252,2,1,http,7989.720703,2106.133789,10,8,255,255,3384616369,4060339489,131,44,1,0,9359.289003,211.985187,1424255862,1424255864,128.388333,155.956578,0.164493,0.085814,0.078679,0,1,1.0,Normal, ,1,1,1,1,1,1,1,Worms,1,9,1
175.45.176.3,28620,149.171.126.11,80,tcp,FIN,1.636358,1292,354,254,252,2,1,http,5685.797363,1515.560791,10,8,255,255,2997885010,1505443127,129,44,1,0,10278.5057,338.096344,1424256103,1424256104,181.817556,209.429578,0.18885,0.11366,0.07519,0,1,1.0,Normal, ,1,1,2,1,1,1,1,Worms,1,9,1
59.166.0.9,1033,149.171.126.2,36106,tcp,FIN,0.252275,8928,320,31,29,4,1,ftp-data,262919.4375,8466.951172,14,6,255,255,3752754916,4244255503,638,53,0,0,1663.521273,68.843641,1424256255,1424256256,19.405769,50.327398,0.000629,0.00048,0.000149,0,0,Normal,Normal, ,3,6,7,2,1,1,4,Normal,0,0,0
59.166.0.8,40869,149.171.126.3,5190,tcp,FIN,0.081856,1470,1728,31,29,5,4,-,137216.5781,156860.8281,22,14,255,255,1123952191,3273825272,67,123,0,0,402.269791,15.076743,1424256426,1424256426,3.897905,6.245308,0.000673,0.000546,0.000127,0,0,Normal,Normal, ,4,11,3,4,1,1,1,Normal,0,0,0
59.166.0.8,57233,149.171.126.9,80,tcp,FIN,1.033615,1580,10168,31,29,3,5,http,11215.00781,74333.28906,12,18,255,255,1603955986,3778059039,132,565,1,3924,9532.812567,7677.621841,1424256426,1424256427,93.934,60.768121,0.000693,0.000553,0.00014,0,0,1.0,Normal, ,4,1,1,3,3,1,1,Normal,0,0,0
59.166.0.5,35916,149.171.126.3,53,udp,CON,0.00107,146,178,31,29,0,0,dns,545794.375,665420.5625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424256274,1424256274,0.008,0.007,0.0,0.0,0.0,0,0,Normal,Normal, ,1,3,2,5,1,1,1,Normal,0,0,0
59.166.0.3,36437,149.171.126.2,39771,udp,CON,0.001666,512,304,31,29,0,0,-,1843937.625,1094837.875,4,4,0,0,0,0,128,76,0,0,0.598921,0.27389,1424256294,1424256294,0.428,0.198667,0.0,0.0,0.0,0,0,Normal,Normal, ,8,5,4,4,1,1,3,Normal,0,0,0
175.45.176.1,1126,149.171.126.19,80,tcp,FIN,0.897703,968,268,254,252,2,1,http,7770.944336,1996.205933,10,6,255,255,3250667718,1972773173,97,45,1,0,5066.411006,249.29,1424256179,1424256180,99.744778,162.855797,0.174214,0.082706,0.091508,0,1,1.0,Normal, ,2,1,1,3,1,1,1,Exploits,1,6,1
175.45.176.3,46281,149.171.126.15,49855,tcp,FIN,4.581648,364,1102,62,252,1,2,ftp-data,557.004822,1684.983276,8,8,255,255,168640853,2571097371,46,138,0,0,51486.80133,1440.836875,1424256398,1424256402,654.521125,637.840438,0.194281,0.116055,0.078226,0,1,Normal,Normal, ,1,1,1,2,1,1,2,Exploits,1,6,1
175.45.176.1,19293,149.171.126.14,21,tcp,FIN,11.420921,1280,1664,62,252,7,9,ftp,859.475342,1113.045044,24,22,255,255,3719143751,665748542,53,76,0,0,42463.97016,1404.123375,1424256431,1424256442,496.561772,537.580312,0.330341,0.131009,0.199332,0,1,Normal,1.0,1,1,1,2,2,1,1,2,Exploits,1,6,1
175.45.176.0,30385,149.171.126.10,49343,tcp,FIN,0.961662,364,2440,62,252,1,2,ftp-data,2653.739014,17760.91797,8,8,255,255,2009135181,4269622042,46,305,0,0,9267.961066,218.304719,1424256311,1424256312,137.364714,130.55743,0.09929,0.047752,0.051538,0,1,Normal,Normal, ,1,1,2,4,1,1,2,Exploits,1,6,1
175.45.176.3,43207,149.171.126.17,80,tcp,FIN,1.746783,894,2158,62,252,2,2,http,3686.777344,8898.643555,10,10,255,255,2133990034,49529675,89,216,1,596,11133.37633,396.985719,1424256528,1424256529,194.071778,181.638563,0.236586,0.112012,0.124574,0,1,1.0,Normal, ,2,1,1,2,2,1,1,Exploits,1,6,1
175.45.176.2,63856,149.171.126.16,25,tcp,FIN,3.565081,132696,2218,62,252,56,8,smtp,295246.0313,4831.307129,118,34,255,255,1363084179,4013266318,1125,65,0,0,3240.504912,155.538828,1424256488,1424256492,30.469983,105.563094,0.191741,0.081498,0.110243,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Exploits,1,6,1
175.45.176.2,46644,149.171.126.12,80,tcp,FIN,3.11781,846,4424,62,252,2,3,http,1955.218506,10407.30469,10,12,255,255,1127269693,781287305,85,369,1,1704,19728.02434,15500.62322,1424256520,1424256523,346.423333,241.201466,0.515666,0.464193,0.051473,0,1,1.0,Normal, ,1,1,2,3,1,1,2,Exploits,1,6,1
175.45.176.0,58351,149.171.126.10,80,tcp,FIN,1.833049,68179,612,254,252,27,1,http,292596.6563,2483.294189,60,14,255,255,2541540832,1146153310,1136,44,1,0,3306.05555,242.9605,1424256165,1424256167,30.024864,133.526234,0.246111,0.097207,0.148904,0,1,4.0,Normal, ,1,1,2,3,2,2,3,Fuzzers,1,1,1
175.45.176.0,39418,149.171.126.15,179,tcp,FIN,0.420452,17266,354,254,252,7,1,-,312102.2188,5898.414062,20,8,255,255,2514807816,2286763469,863,44,0,0,1571.170573,79.564656,1424256241,1424256241,20.327948,49.617285,0.11446,0.073127,0.041333,0,1,Normal,Normal, ,5,5,3,4,3,3,5,Fuzzers,1,1,1
175.45.176.1,63980,149.171.126.13,69,udp,INT,2.5e-05,3022,0,254,0,0,0,-,644800000.0,0.0,3,0,0,0,0,0,1007,0,0,0,0.0,0.0,1424256512,1424256512,0.02,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,3,5,3,2,2,1,3,Fuzzers,1,1,1
175.45.176.0,137,149.171.126.14,137,udp,REQ,59.814823,12320,0,254,0,0,0,dns,1624.212769,0.0,70,0,0,0,0,0,176,0,0,0,1483.91875,0.0,1424256358,1424256418,878.2395,0.0,0.0,0.0,0.0,0,6,Normal,Normal, ,2,2,2,2,2,2,2,Fuzzers,1,1,1
175.45.176.2,63030,149.171.126.18,445,tcp,FIN,1.327056,95507,698,254,252,36,1,-,568373.875,3948.589844,78,16,255,255,181249115,1986981170,1224,44,0,0,1845.081614,118.975594,1424256508,1424256509,16.963364,83.539336,0.147464,0.073965,0.073499,0,1,Normal,Normal, ,3,1,1,1,1,1,1,Fuzzers,1,1,1
175.45.176.1,4307,149.171.126.13,445,tcp,FIN,1.423449,994,712,254,252,3,2,-,5125.578613,3501.354736,12,8,255,255,2774027690,542937477,83,89,0,0,7284.114682,334.655937,1424256161,1424256162,129.305176,188.627422,0.262379,0.103056,0.159323,0,1,Normal,Normal, ,3,2,1,1,1,1,2,Fuzzers,1,1,1
175.45.176.0,5971,149.171.126.10,80,tcp,FIN,1.457202,68181,698,254,252,27,1,-,368075.2813,3595.932617,60,16,255,255,2862647284,142143044,1136,44,1,0,2343.79602,109.316547,1424256173,1424256175,24.040424,90.308203,0.160773,0.10257,0.058203,0,1,1.0,Normal, ,8,2,1,2,1,1,2,Fuzzers,1,1,1
175.45.176.2,1029,149.171.126.11,179,tcp,FIN,0.799338,738,268,254,252,2,0,-,6655.507812,2241.855225,10,6,255,255,2355879794,2296510182,74,45,0,0,682812.6582,25423.804,1424256304,1424256305,6902.0162,11507.916,0.226509,0.083575,0.142934,0,1,Normal,Normal, ,7,6,5,6,5,5,6,Fuzzers,1,1,1
175.45.176.0,43161,149.171.126.15,111,tcp,FIN,1.205172,564,354,254,252,2,1,-,3372.133057,2057.797607,10,8,255,255,4011295075,3245746356,56,44,0,0,7572.873668,236.493031,1424256303,1424256304,129.147444,160.703281,0.156951,0.08024,0.076711,0,1,Normal,Normal, ,4,3,1,1,1,1,3,Reconnaissance,1,2,1
175.45.176.0,0,149.171.126.12,0,sctp,CON,0.315915,152,82,254,60,0,0,-,1924.568359,1038.254028,2,2,0,0,0,0,76,41,0,0,0.0,0.0,1424256235,1424256235,0.009,0.004,0.0,0.0,0.0,0,0,Normal,Normal, ,1,1,1,2,1,1,1,Reconnaissance,1,2,1
175.45.176.1,26887,149.171.126.10,80,tcp,FIN,0.313492,792,268,254,252,2,1,http,18195.04102,5716.254395,10,6,255,255,1291667027,4023106778,79,45,1,0,1710.347493,74.79918,1424256368,1424256368,32.525111,51.407801,0.100842,0.056445,0.044397,0,1,1.0,Normal, ,1,2,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.0,51466,149.171.126.10,111,tcp,FIN,1.605367,564,354,254,252,2,1,-,2531.508545,1544.818115,10,8,255,255,3516375690,434541402,56,44,0,0,9964.896962,321.706687,1424256473,1424256475,178.374111,218.701141,0.139464,0.073319,0.066145,0,1,Normal,Normal, ,3,1,1,2,1,1,1,Reconnaissance,1,2,1
175.45.176.0,46865,149.171.126.11,111,tcp,FIN,1.280038,564,354,254,252,2,1,-,3174.905762,1937.442505,10,8,255,255,587945717,3713005145,56,44,0,0,9143.147399,239.796859,1424256143,1424256144,137.220889,171.942281,0.173031,0.076439,0.096592,0,1,Normal,Normal, ,9,5,2,6,1,1,5,Reconnaissance,1,2,1
175.45.176.1,30742,149.171.126.11,111,udp,INT,9e-06,168,0,254,0,0,0,-,74666664.0,0.0,2,0,0,0,0,0,84,0,0,0,0.0,0.0,1424256246,1424256246,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,4,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.2,9960,149.171.126.16,111,tcp,FIN,0.905975,564,354,254,252,2,1,-,4485.774902,2737.382324,10,8,255,255,13585483,745143584,56,44,0,0,6583.222352,158.354359,1424256302,1424256303,100.663889,119.170711,0.13476,0.071083,0.063677,0,1,Normal,Normal, ,7,1,1,1,1,1,1,Reconnaissance,1,2,1
175.45.176.3,38959,149.171.126.16,1723,tcp,FIN,2.671132,147931,956,254,252,57,1,-,439361.2813,2734.421143,120,22,255,255,4083125883,8162873,1233,43,0,0,3265.763753,251.224484,1424256510,1424256513,22.137932,124.123906,0.137648,0.06451,0.073138,0,1,Normal,Normal, ,2,1,1,1,1,1,1,DoS,1,5,1
175.45.176.3,0,149.171.126.18,0,sctp,CON,1.352354,824,432,254,60,0,0,-,3655.847412,1277.771851,4,2,0,0,0,0,206,216,0,0,637.498,0.0,1424256448,1424256450,450.784656,0.004,0.0,0.0,0.0,0,0,Normal,Normal, ,1,1,1,1,1,1,2,DoS,1,5,1
175.45.176.3,0,149.171.126.18,0,sctp,CON,1.352354,824,432,254,60,0,0,-,3655.847412,1277.771851,4,2,0,0,0,0,206,216,0,0,637.498,0.0,1424256448,1424256450,450.784656,0.004,0.0,0.0,0.0,0,0,Normal,Normal, ,1,1,1,1,1,1,2,DoS,1,5,1
175.45.176.1,8409,149.171.126.15,8080,tcp,FIN,1.875256,936,3152,254,252,2,2,http,3596.309082,12102.88086,10,10,255,255,2446460465,197311327,94,315,1,1081,12730.99008,311.250031,1424256466,1424256468,208.302889,197.449891,0.144254,0.098206,0.046048,0,1,1.0,Normal, ,1,1,1,2,1,1,1,Generic,1,7,1
175.45.176.0,41755,149.171.126.16,35989,tcp,FIN,4.88027,502,354,254,252,2,1,-,740.942627,508.16861,10,8,255,255,632386398,2017213288,50,44,0,0,34318.50721,1015.762375,1424256399,1424256404,538.929111,680.068437,0.287028,0.119778,0.16725,0,1,Normal,Normal, ,2,1,1,2,1,1,1,Shellcode,1,8,1
175.45.176.2,43607,149.171.126.19,14027,udp,INT,3e-06,116,0,254,0,0,0,-,154666656.0,0.0,2,0,0,0,0,0,58,0,0,0,0.0,0.0,1424256418,1424256418,0.003,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,3,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.1,29452,149.171.126.15,8980,tcp,FIN,1.809602,1132,354,254,252,2,1,-,4504.85791,1370.467041,10,8,255,255,2620557691,3073006688,113,44,0,0,12537.81164,512.133469,1424256154,1424256156,200.964222,242.726,0.177336,0.11051,0.066826,0,1,Normal,Normal, ,2,2,1,2,1,1,1,Shellcode,1,8,1
175.45.176.1,27865,149.171.126.17,9276,tcp,FIN,0.423426,1078,268,254,252,2,1,-,18345.58984,4232.144531,10,6,255,255,17068479,1106894830,108,45,0,0,2347.640853,117.069266,1424256448,1424256448,46.975,76.380797,0.110408,0.041513,0.068895,0,1,Normal,Normal, ,2,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.0,17837,149.171.126.19,56025,udp,INT,4e-06,320,0,254,0,0,0,-,320000000.0,0.0,2,0,0,0,0,0,160,0,0,0,0.0,0.0,1424256316,1424256316,0.004,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,3,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.3,49313,149.171.126.16,44207,tcp,FIN,0.797148,668,268,254,252,2,1,-,6041.538086,2248.01416,10,6,255,255,572976138,592779626,67,45,0,0,4067.489635,180.561703,1424256348,1424256349,79.766556,130.870203,0.199048,0.142794,0.056254,0,1,Normal,Normal, ,2,2,1,1,1,1,1,Shellcode,1,8,1
175.45.176.0,22834,149.171.126.18,47694,tcp,FIN,0.372726,544,268,254,252,2,1,-,10517.10938,4807.821289,10,6,255,255,403337156,2338321767,54,45,0,0,2013.994689,87.912977,1424256256,1424256256,41.319222,62.730398,0.120158,0.059066,0.061092,0,1,Normal,Normal, ,5,1,1,2,1,1,1,Shellcode,1,8,1
175.45.176.1,43271,149.171.126.18,57476,udp,INT,9e-06,212,0,254,0,0,0,-,94222216.0,0.0,2,0,0,0,0,0,106,0,0,0,0.0,0.0,1424256180,1424256180,0.009,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,4,1,1,3,1,1,1,Shellcode,1,8,1
175.45.176.1,45580,149.171.126.13,14407,udp,INT,4e-06,504,0,254,0,0,0,-,504000000.0,0.0,2,0,0,0,0,0,252,0,0,0,0.0,0.0,1424256527,1424256527,0.004,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,3,2,1,1,1,1,Shellcode,1,8,1
175.45.176.3,32743,149.171.126.16,9771,tcp,FIN,0.539418,610,268,254,252,2,1,-,8142.108887,3322.099121,10,6,255,255,3320885445,3782182808,61,45,0,0,2858.444266,141.996047,1424256283,1424256284,56.536444,92.956602,0.155486,0.074625,0.080861,0,1,Normal,Normal, ,1,1,1,1,1,1,1,Shellcode,1,8,1
175.45.176.0,0,149.171.126.17,0,ospf,INT,58.947353,5400,0,254,0,0,0,-,718.200195,0.0,50,0,0,0,0,0,108,0,0,0,1554.369625,0.0,1424256451,1424256510,1203.007375,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Backdoor,1,4,1
175.45.176.0,0,149.171.126.12,0,sctp,CON,0.315915,152,82,254,60,0,0,-,1924.568359,1038.254028,2,2,0,0,0,0,76,41,0,0,0.0,0.0,1424256235,1424256235,0.009,0.004,0.0,0.0,0.0,0,0,Normal,Normal, ,1,1,1,2,1,1,1,Backdoor,1,4,1
175.45.176.3,0,149.171.126.18,0,sctp,CON,1.352354,824,432,254,60,0,0,-,3655.847412,1277.771851,4,2,0,0,0,0,206,216,0,0,637.498,0.0,1424256448,1424256450,450.784656,0.004,0.0,0.0,0.0,0,0,Normal,Normal, ,1,1,1,1,1,1,2,Backdoor,1,4,1
175.45.176.0,15291,149.171.126.19,4444,tcp,FIN,0.696159,620,354,254,252,2,1,-,6412.328125,3562.404541,10,8,255,255,508103444,2357962034,62,44,0,0,4571.896152,133.804922,1424256186,1424256187,77.351,82.26757,0.14209,0.060641,0.081449,0,1,Normal,Normal, ,8,1,1,4,1,1,1,Backdoor,1,4,1
175.45.176.0,0,149.171.126.17,0,ospf,INT,58.947353,5400,0,254,0,0,0,-,718.200195,0.0,50,0,0,0,0,0,108,0,0,0,1554.369625,0.0,1424256451,1424256510,1203.007375,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,1,1,1,1,1,Analysis,1,3,1
175.45.176.3,48014,149.171.126.13,520,udp,INT,2.1e-05,1064,0,254,0,0,0,-,202666672.0,0.0,2,0,0,0,0,0,532,0,0,0,0.0,0.0,1424256645,1424256645,0.021,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,4,7,2,2,2,2,4,Normal,0,0,0
175.45.176.0,64555,149.171.126.13,520,udp,INT,5e-06,104,0,254,0,0,0,-,83200000.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424256872,1424256872,0.005,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,3,2,1,1,1,1,2,Normal,0,0,0
59.166.0.5,60897,149.171.126.0,26601,tcp,FIN,0.040779,3302,35712,31,29,7,21,-,635817.5,6880993.0,54,56,255,255,3342063171,1192771888,61,638,0,0,48.646039,47.24112,1424256651,1424256651,0.763755,0.745241,0.00092,0.000527,0.000393,0,0,Normal,Normal, ,5,2,5,3,1,1,2,Normal,0,0,0
59.166.0.5,26756,149.171.126.8,53,udp,CON,0.001098,146,178,31,29,0,0,dns,531876.125,648451.75,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424256616,1424256616,0.009,0.006,0.0,0.0,0.0,0,0,Normal,Normal, ,5,6,4,6,2,1,3,Normal,0,0,0
59.166.0.8,2817,149.171.126.0,51990,udp,CON,0.00193,552,304,31,29,0,0,-,1716062.125,945077.6875,4,4,0,0,0,0,138,76,0,0,0.727613,0.272709,1424256739,1424256739,0.518,0.196333,0.0,0.0,0.0,0,0,Normal,Normal, ,7,4,3,5,1,1,2,Normal,0,0,0
175.45.176.3,15781,149.171.126.13,25,tcp,FIN,3.824294,188747,2600,62,252,77,8,smtp,392371.5,5302.939453,160,40,255,255,627570366,3419243152,1180,65,0,0,2735.17614,136.142625,1424256777,1424256781,24.044114,96.507719,0.106888,0.060484,0.046404,0,1,Normal,Normal, ,1,1,1,2,1,1,1,Exploits,1,6,1
175.45.176.2,0,149.171.126.18,0,sep,INT,1e-06,104,0,254,0,0,0,-,416000000.0,0.0,2,0,0,0,0,0,52,0,0,0,0.0,0.0,1424256745,1424256745,0.001,0.0,0.0,0.0,0.0,0,2,Normal,Normal, ,1,1,2,1,1,1,1,Exploits,1,6,1
175.45.176.3,56405,149.171.126.10,25,tcp,FIN,2.517201,65220,1952,62,252,30,8,smtp,204137.8594,5965.355957,66,26,255,255,2204300183,3957883578,988,75,0,0,3886.248821,155.152469,1424256679,1424256681,39.311719,96.580797,0.150142,0.102672,0.04747,0,1,Normal,Normal, ,1,1,1,2,1,1,1,Exploits,1,6,1
